epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,110.927,1.37099,0.97194,1.15184,0.66229,0.68333,0.6873,0.30608,1.89454,1.41046,1.52406,0.000344709,0.000344709,0.000344709
74,112.209,1.18659,0.85362,1.09387,0.66229,0.68333,0.6873,0.30608,1.89454,1.41046,1.52406,0.000337449,0.000337449,0.000337449
75,113.604,1.23176,0.87495,1.10983,0.66463,0.65278,0.67204,0.33624,1.7777,1.38153,1.44845,0.000329859,0.000329859,0.000329859
76,114.913,1.14361,0.81974,1.08316,0.66463,0.65278,0.67204,0.33624,1.7777,1.38153,1.44845,0.000321939,0.000321939,0.000321939
77,116.312,1.31243,0.99444,1.18721,0.66463,0.65278,0.67204,0.33624,1.7777,1.38153,1.44845,0.000313689,0.000313689,0.000313689
78,117.658,1.25665,0.86306,1.10036,0.70349,0.69543,0.69424,0.31754,1.77125,1.37349,1.42176,0.000305109,0.000305109,0.000305109
79,118.919,1.08576,0.84968,1.06724,0.70349,0.69543,0.69424,0.31754,1.77125,1.37349,1.42176,0.000296199,0.000296199,0.000296199
80,120.284,1.13212,0.87749,1.13593,0.70349,0.69543,0.69424,0.31754,1.77125,1.37349,1.42176,0.000286959,0.000286959,0.000286959
81,121.974,1.43886,1.01468,1.1399,0.72645,0.65278,0.66759,0.33314,1.77112,1.35969,1.41721,0.000277389,0.000277389,0.000277389
82,123.571,1.0667,0.79475,1.07274,0.72645,0.65278,0.66759,0.33314,1.77112,1.35969,1.41721,0.000267488,0.000267488,0.000267488
83,124.803,1.23928,0.91642,1.09596,0.72645,0.65278,0.66759,0.33314,1.77112,1.35969,1.41721,0.000257258,0.000257258,0.000257258
84,126.016,1.31259,0.97392,1.14425,0.66442,0.62721,0.65736,0.33152,1.73436,1.36702,1.3922,0.000246698,0.000246698,0.000246698
85,127.313,1.21855,0.88017,1.1102,0.66442,0.62721,0.65736,0.33152,1.73436,1.36702,1.3922,0.000235807,0.000235807,0.000235807
86,128.521,1.14982,0.79418,1.04974,0.66442,0.62721,0.65736,0.33152,1.73436,1.36702,1.3922,0.000224587,0.000224587,0.000224587
87,129.772,1.26804,0.90048,1.19329,0.66442,0.62721,0.65736,0.33152,1.73436,1.36702,1.3922,0.000213036,0.000213036,0.000213036
88,131.021,1.14751,0.85135,1.11467,0.67269,0.60793,0.66308,0.35194,1.66654,1.36307,1.34862,0.000201155,0.000201155,0.000201155
89,132.376,1.10847,0.82687,1.07588,0.67269,0.60793,0.66308,0.35194,1.66654,1.36307,1.34862,0.000188944,0.000188944,0.000188944
90,133.872,1.15104,0.81565,1.06332,0.67269,0.60793,0.66308,0.35194,1.66654,1.36307,1.34862,0.000176404,0.000176404,0.000176404
91,137.256,1.06957,0.76671,1.03734,0.67269,0.60793,0.66308,0.35194,1.66654,1.36307,1.34862,0.000163533,0.000163533,0.000163533
92,139.253,1.03742,0.73191,1.05166,0.78133,0.57778,0.68904,0.38342,1.62797,1.32774,1.3227,0.000150332,0.000150332,0.000150332
93,140.855,1.13521,0.79785,1.0746,0.78133,0.57778,0.68904,0.38342,1.62797,1.32774,1.3227,0.000136801,0.000136801,0.000136801
94,142.833,0.96548,0.72017,1.04766,0.78133,0.57778,0.68904,0.38342,1.62797,1.32774,1.3227,0.00012294,0.00012294,0.00012294
95,144.289,1.09005,0.78561,1.11654,0.78133,0.57778,0.68904,0.38342,1.62797,1.32774,1.3227,0.000108748,0.000108748,0.000108748
96,145.62,1.09307,0.78646,1.07408,0.68527,0.60278,0.68519,0.39599,1.59945,1.28978,1.30528,9.42272e-05,9.42272e-05,9.42272e-05
97,146.87,1.24117,0.90692,1.14305,0.68527,0.60278,0.68519,0.39599,1.59945,1.28978,1.30528,7.93759e-05,7.93759e-05,7.93759e-05
98,148.513,1.02836,0.77203,1.01444,0.68527,0.60278,0.68519,0.39599,1.59945,1.28978,1.30528,6.41945e-05,6.41945e-05,6.41945e-05
99,150.26,1.05874,0.79133,1.10201,0.68527,0.60278,0.68519,0.39599,1.59945,1.28978,1.30528,4.86831e-05,4.86831e-05,4.86831e-05
100,151.901,1.05206,0.73585,1.0319,0.72582,0.57217,0.67882,0.39394,1.61281,1.24905,1.30719,3.28416e-05,3.28416e-05,3.28416e-05
